filename,param_count,run,compilation_time,max_memory_kb,job_id,node
17-param.sac,17,1,.486876401,54096,7583223,cn132
17-param.sac,17,2,.485982741,54096,7583223,cn132
17-param.sac,17,3,.483042440,54136,7583223,cn132
17-param.sac,17,4,.482195456,53980,7583223,cn132
17-param.sac,17,5,.484736806,54072,7583223,cn132
17-param.sac,17,6,.485293554,53916,7583223,cn132
17-param.sac,17,7,.484696309,54092,7583223,cn132
17-param.sac,17,8,.489946926,54160,7583223,cn132
17-param.sac,17,9,.493880085,53884,7583223,cn132
17-param.sac,17,10,.479451864,54136,7583223,cn132
